,last_scraped,host_name,host_since,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,bathrooms_text,price,has_availability,calendar_last_scraped,first_review,last_review,license,instant_bookable,id,host_id,host_listings_count,host_total_listings_count,accommodates,bathrooms,bedrooms,beds,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_90,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_location,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
0,9/28/2024,Lars Kristian,7/19/2014,"Oslo, Norway",within a day,100%,100%,f,t,t,Entire home,Entire home/apt,2.5 baths,0.00,t,9/28/2024,8/3/2024,8/3/2024,no reviews,f,1.13E+18,18365661,1,2,6,1,3,0,2.1,14,2.3,7,14,14,2.4,14,0,0,1,1,0,5,5,4,5,5,1,0,0,0.53
1,9/28/2024,Cecilie,8/1/2010,"Oslo, Norway",within an hour,100%,100%,f,t,t,Entire condo,Entire home/apt,1 bath,3400.00,t,9/28/2024,9/2/2013,8/25/2024,no reviews,f,42932,187463,2,2,3,1,2,3,4,185.9,4,4,187.4,188.8,4,189.2,26,69,7.2,3,0,4.91,4.96,4.98,4.92,4.96,1,0,0,0.4
2,9/28/2024,Reidun,1/30/2011,"Oslo, Norway",within a day,100%,71%,f,t,t,Private room in rental unit,Private room,1 bath,586.00,t,9/28/2024,2/15/2011,5/15/2024,no reviews,f,71725,368229,1,1,2,1,1,2,2.1,730,2.3,2.7,730,730,2.4,730,2,59,7.2,2,0,4.75,4.69,4.78,4.98,4.71,1,0,0,0.34
3,9/28/2024,Melissa,10/1/2010,"Oslo, Norway",within an hour,100%,96%,t,t,t,Entire condo,Entire home/apt,1 bath,0.00,t,9/28/2024,5/28/2011,8/3/2024,no reviews,f,85902,250159,3,3,4,1,2,0,3,21,3,4,187.4,188.8,3,189.2,0,0,7.2,4,0,4.77,4.78,4.58,4.74,4.49,1,0,0,0.5
4,9/28/2024,Melissa,10/1/2010,"Oslo, Norway",within an hour,100%,96%,t,t,t,Private room in condo,Private room,1 shared bath,0.00,t,9/28/2024,6/16/2011,8/11/2024,no reviews,f,123041,250159,3,3,2,1,0,0,1,40,1,1,40,40,1,40,0,0,7.2,1,0,4.82,4.85,4.72,4.85,4.6,1,0,0,1.46
5,9/28/2024,Henrik,6/18/2011,"Oslo, Norway",within an hour,100%,100%,f,t,t,Private room in rental unit,Private room,1 shared bath,1055.00,t,9/28/2024,7/16/2011,7/2/2024,no reviews,f,149776,714768,2,2,2,1,1,1,2.1,365,5,5,365,365,5,365,30,90,7.2,1,0,4.91,4.84,5,4.98,4.88,1,0,0,0.27
6,9/28/2024,Jon,7/7/2011,"Oslo, Norway",within an hour,100%,100%,f,t,f,Private room in condo,Private room,1 shared bath,520.00,t,9/28/2024,8/22/2011,9/10/2024,no reviews,f,165218,787976,1,2,2,1,1,1,2,30,2,2,30,30,2,30,13,22,23,2,2,4.91,4.77,4.77,4.82,4.68,1,0,0,0.14
7,9/28/2024,Christina,4/26/2010,"Oslo, Norway",within a day,100%,100%,f,t,t,Entire rental unit,Entire home/apt,1 bath,9346.00,t,9/28/2024,7/25/2011,10/26/2014,no reviews,t,174372,114189,2,2,6,1,1.4,3,2.1,365,2.3,2.7,365,365,2.4,365,30,90,35,0,0,4.87,4.88,4.94,4.79,4.79,1,0,0,0.22
8,9/28/2024,Kåre & Truls,10/29/2011,"Oslo, Norway",within a few hours,100%,77%,t,t,t,Entire rental unit,Entire home/apt,1 bath,871.00,t,9/28/2024,10/9/2012,9/20/2024,no reviews,f,256459,1347737,3,1.4,6,1,2,3,1,365,1,1,365,365,1,365,23,68,7.2,3.3,0.3,4.96,4.96,4.98,4.96,4.88,1,0,0,2.75
9,9/28/2024,Espen,7/8/2011,"Berlin, Germany",within a day,100%,63%,t,t,t,Entire condo,Entire home/apt,1 bath,962.00,t,9/28/2024,1/10/2012,9/26/2024,no reviews,f,275790,793479,1,1,2,1,1,1,2.1,185.9,2.3,2.7,187.4,188.8,2.4,189.2,0,56,22,5,1,4.86,4.82,4.77,5,4.86,1,0,0,0.14
